All the ports open between 15-100

Execution time: 82.16848468780518
Port 15/TCP on 27.0.173.186 is filtered
Port 16/TCP on 27.0.173.186 is filtered
Port 17/TCP on 27.0.173.186 is filtered
Port 18/TCP on 27.0.173.186 is filtered
Port 19/TCP on 27.0.173.186 is filtered
Port 20/TCP on 27.0.173.186 is filtered
Port 22/TCP on 27.0.173.186 is open
Port 23/TCP on 27.0.173.186 is filtered
Port 24/TCP on 27.0.173.186 is filtered
Port 26/TCP on 27.0.173.186 is filtered
Port 27/TCP on 27.0.173.186 is filtered
Port 28/TCP on 27.0.173.186 is filtered
Port 29/TCP on 27.0.173.186 is filtered
Port 30/TCP on 27.0.173.186 is filtered
Port 31/TCP on 27.0.173.186 is filtered
Port 32/TCP on 27.0.173.186 is filtered
Port 33/TCP on 27.0.173.186 is filtered
Port 34/TCP on 27.0.173.186 is filtered
Port 35/TCP on 27.0.173.186 is filtered
Port 36/TCP on 27.0.173.186 is filtered
Port 37/TCP on 27.0.173.186 is filtered
Port 38/TCP on 27.0.173.186 is filtered
Port 39/TCP on 27.0.173.186 is filtered
Port 40/TCP on 27.0.173.186 is filtered
Port 41/TCP on 27.0.173.186 is filtered
Port 42/TCP on 27.0.173.186 is filtered
Port 43/TCP on 27.0.173.186 is filtered
Port 44/TCP on 27.0.173.186 is filtered
Port 45/TCP on 27.0.173.186 is filtered
Port 46/TCP on 27.0.173.186 is filtered
Port 47/TCP on 27.0.173.186 is filtered
Port 48/TCP on 27.0.173.186 is filtered
Port 49/TCP on 27.0.173.186 is filtered
Port 50/TCP on 27.0.173.186 is filtered
Port 51/TCP on 27.0.173.186 is filtered
Port 52/TCP on 27.0.173.186 is filtered
Port 53/TCP on 27.0.173.186 is filtered
Port 54/TCP on 27.0.173.186 is filtered
Port 55/TCP on 27.0.173.186 is filtered
Port 56/TCP on 27.0.173.186 is filtered
Port 57/TCP on 27.0.173.186 is filtered
Port 58/TCP on 27.0.173.186 is filtered
Port 59/TCP on 27.0.173.186 is filtered
Port 60/TCP on 27.0.173.186 is filtered
Port 61/TCP on 27.0.173.186 is filtered
Port 62/TCP on 27.0.173.186 is filtered
Port 63/TCP on 27.0.173.186 is filtered
Port 64/TCP on 27.0.173.186 is filtered
Port 65/TCP on 27.0.173.186 is filtered
Port 66/TCP on 27.0.173.186 is filtered
Port 67/TCP on 27.0.173.186 is filtered
Port 68/TCP on 27.0.173.186 is filtered
Port 69/TCP on 27.0.173.186 is filtered
Port 70/TCP on 27.0.173.186 is filtered
Port 71/TCP on 27.0.173.186 is filtered
Port 72/TCP on 27.0.173.186 is filtered
Port 73/TCP on 27.0.173.186 is filtered
Port 74/TCP on 27.0.173.186 is filtered
Port 75/TCP on 27.0.173.186 is filtered
Port 76/TCP on 27.0.173.186 is filtered
Port 77/TCP on 27.0.173.186 is filtered
Port 78/TCP on 27.0.173.186 is filtered
Port 79/TCP on 27.0.173.186 is filtered
Port 81/TCP on 27.0.173.186 is filtered
Port 82/TCP on 27.0.173.186 is filtered
Port 83/TCP on 27.0.173.186 is filtered
Port 84/TCP on 27.0.173.186 is filtered
Port 85/TCP on 27.0.173.186 is filtered
Port 86/TCP on 27.0.173.186 is filtered
Port 87/TCP on 27.0.173.186 is filtered
Port 88/TCP on 27.0.173.186 is filtered
Port 89/TCP on 27.0.173.186 is filtered
Port 90/TCP on 27.0.173.186 is filtered
Port 91/TCP on 27.0.173.186 is filtered
Port 92/TCP on 27.0.173.186 is filtered
Port 93/TCP on 27.0.173.186 is filtered
Port 94/TCP on 27.0.173.186 is filtered
Port 95/TCP on 27.0.173.186 is filtered
Port 96/TCP on 27.0.173.186 is filtered
Port 97/TCP on 27.0.173.186 is filtered
Port 98/TCP on 27.0.173.186 is filtered
Port 99/TCP on 27.0.173.186 is filtered
Port 100/TCP on 27.0.173.186 is filtered
